case1,case2,label
12138,10168,0
4589,4082,0
20264,21982,1
3845,19897,0
22954,30835,0
33438,30567,1
31638,20651,0
18902,5007,0
20563,5016,0
27827,29823,0
31142,18791,0
22579,4465,0
28533,8704,0
27510,13095,0
14032,17181,1
14861,15253,0
14044,3679,0
29656,9079,0
32220,1339,0
28498,26536,0
5723,20359,0
17910,21440,0
29427,20655,0
17127,21235,0
28108,12722,0
11529,21687,0
9667,18798,1
922,33646,0
6298,6766,0
24402,24952,0
20419,22930,0
511,33822,0
16683,22885,0
8807,19344,0
18115,3956,0
9561,30510,0
14969,2356,0
15257,25446,0
22097,13576,1
11741,8563,0
7165,26330,0
18986,32882,0
4321,20815,1
24962,8594,0
9689,12844,0
1261,24823,0
20871,25341,1
14064,16302,0
33408,31344,0
8525,16493,0
6207,13515,0
23474,790,0
28203,20832,0
5343,22280,0
25523,12487,1
31488,31788,0
4358,10983,0
22066,15836,0
3260,25903,0
33378,7964,0
8551,21879,0
30595,17882,0
27012,4703,0
1405,25952,1
17546,10581,0
14488,6259,1
26667,8335,0
30004,14646,0
24936,11678,0
5824,23676,0
14754,12735,0
26443,7127,0
19750,15527,0
24035,1263,0
23029,27410,0
18568,2506,0
16392,4334,1
20782,20554,0
24457,31507,0
29432,31292,0
16921,8015,0
7641,15760,0
4527,14320,0
24825,11148,0
29925,23948,0
5591,3701,0
12419,15087,0
8718,11844,0
19753,27802,0
33522,1316,0
24333,3841,0
21909,14800,0
10787,17623,1
5455,3044,0
7482,7766,0
15706,8193,0
20910,16127,0
7094,21821,0
27157,21410,0
16866,17806,0
28594,10323,1
29508,9109,0
754,14448,0
11421,23375,0
33315,32018,0
32893,26074,0
26856,11379,0
6585,33791,0
29942,11598,0
1713,3088,0
22885,15732,0
6062,21729,0
23243,29098,0
20086,24639,0
19227,22973,0
26249,16417,0
16067,5658,0
412,3795,0
32179,2539,0
12708,14062,0
31158,1636,0
5196,29178,0
33963,24546,0
10775,32597,1
25072,1171,0
15755,4960,0
28293,11489,0
24261,9927,0
14730,21689,0
19905,12365,0
349,18261,0
31483,16129,0
24578,13787,0
28973,30452,0
13966,948,0
125,33479,0
6483,837,0
6699,14713,1
19520,24483,0
1712,3593,0
33670,17329,0
14119,5863,1
33400,31171,0
8122,27045,0
14096,11181,0
21116,17316,0
153,23945,0
32523,17501,0
9838,32217,1
28760,9940,0
23006,25303,0
18414,21208,0
28119,11708,0
19513,27836,0
12049,5934,0
9644,1665,0
17855,20135,0
24527,14212,0
16494,2549,0
29803,22236,0
21583,25731,0
5265,27772,1
18257,2899,0
13782,5581,0
25387,1646,1
33787,31599,0
15973,31670,0
22606,3650,0
5428,1984,0
18048,15845,0
26473,13355,0
7334,818,0
13229,25192,0
23479,26399,0
4625,24186,0
33157,1638,0
12474,3541,0
4146,32601,0
14924,13184,0
25821,6051,0
27394,5870,0
12190,4370,0
10000,16697,1
31082,1392,0
13211,134,0
33865,6475,0
17337,10258,1
7588,23091,0
6759,24919,0
13270,18225,0
32018,30110,0
30617,25817,1
10730,2155,0
31529,1123,0
8415,359,0
12298,14549,0
326,1367,0
8038,14630,1
23012,14946,0
16314,29796,0
21523,11163,0
9662,26558,0
6483,6152,0
31775,31963,0
16553,4934,0
18630,27402,0
1930,18330,0
840,12096,0
837,2011,0
32472,7950,0
26215,15668,1
406,19000,1
1774,7669,0
28365,14463,0
22604,22317,0
2462,29719,0
28054,12233,0
6099,33724,0
10249,26042,0
33288,17464,0
6838,31383,0
8082,32491,0
20666,11787,0
5818,6400,0
8464,16070,0
21093,16004,0
33445,6165,0
9179,26482,0
951,6585,0
8822,14380,0
205,22322,1
27167,29005,0
9590,15875,0
20462,15938,1
22118,31021,0
24020,12117,0
1264,28064,0
22091,7810,0
21677,6608,0
4997,16265,0
19430,3149,0
27824,18017,0
2927,25342,0
7471,19797,0
15330,22489,0
30997,30270,0
14560,2593,0
23301,11509,0
16684,31941,1
7053,28105,0
7239,29164,0
26381,11193,0
31203,9895,0
31687,23656,0
13417,30074,1
7024,1260,0
11710,10924,0
668,12422,0
25092,13410,0
23591,13622,0
9279,30667,0
15451,10830,0
27793,30438,0
18953,27131,0
8662,10922,0
22697,26548,0
12634,24138,0
1579,9586,0
13827,10246,1
13795,1829,0
26955,12567,0
8814,394,0
670,21019,0
6111,32064,0
21006,11,0
6104,8463,0
29032,33232,0
12495,15313,0
359,22854,0
1937,16825,0
478,7660,0
17584,33067,0
19670,9606,1
30558,23556,0
10526,27005,0
18534,21244,1
1202,29698,0
13832,171,1
24363,6947,0
27027,31282,0
11677,24123,0
11252,18108,1
25705,11654,0
12583,1448,0
29786,30674,0
18063,15192,0
3656,26236,0
10430,20751,0
22777,25785,0
17919,22052,0
33724,6016,1
26389,9073,0
14769,6627,0
5266,5511,0
3288,8558,0
15199,30666,0
28648,25378,1
5815,15167,0
30227,5573,0
25142,22898,0
19289,17285,1
15657,23810,0
30525,3648,0
5937,31389,0
19745,1769,0
28282,24759,0
12156,26952,0
24880,22269,0
3940,27896,0
6494,11313,0
32600,14214,0
20572,13154,0
30634,15964,0
17069,7207,0
23309,1194,0
3868,25388,0
24723,33072,0
18058,12423,0
11144,10729,0
10053,11446,0
29382,33016,1
20846,25883,1
17672,22566,0
28234,26977,0
13618,18814,0
24456,32688,0
4984,28867,0
5414,1235,0
2481,680,0
12318,29454,0
17697,25656,0
10014,966,0
8870,25784,1
24278,22080,0
29576,3741,0
21477,20328,0
16401,6106,0
4468,30716,0
4218,17712,0
12632,10887,0
30782,1019,0
26921,25957,1
8929,24150,0
29239,29019,1
13426,1707,1
2400,4573,0
27383,33665,0
10917,30418,0
14050,26301,0
17823,4293,1
27182,1090,0
9060,10189,0
30676,9364,0
15676,29171,0
31510,21442,0
19539,6085,0
14605,31773,0
3520,19536,0
29329,29011,0
17384,21562,0
19425,30022,0
7371,10071,0
8841,3388,0
10018,2450,1
21226,20186,1
21371,10899,0
21579,30167,1
14461,14376,0
33838,29666,0
11629,8761,0
15682,13343,0
23665,20049,0
27716,19383,0
27155,16062,1
5067,25823,0
24092,14612,0
8166,871,1
3870,3580,0
1169,16795,0
25174,9832,1
17136,16120,0
2519,28276,0
11891,1603,1
7120,32922,0
14813,25652,1
19549,289,0
29793,133,0
23098,16901,0
33429,29574,0
15182,33251,1
6126,15352,0
11487,12736,0
12207,28243,0
24970,26405,0
30740,5318,0
7192,28639,0
5100,18822,0
5430,32657,0
7156,6617,0
33561,15764,1
14162,505,0
18508,24482,0
20571,21884,0
12385,31885,0
24960,19779,0
1673,23089,0
3560,16341,0
19766,1587,0
11061,25333,0
7946,17370,0
1905,10614,0
22379,32418,1
1886,12081,1
8578,31450,0
25291,17306,1
19322,32458,0
24397,18576,0
9921,8035,0
9781,27264,0
7170,3227,0
25578,3750,0
20429,3358,0
21179,22986,0
14485,30093,0
8193,3260,0
23546,9188,0
6556,25490,0
7576,10942,0
11914,31843,0
16963,33003,1
16621,25476,0
27674,22656,0
1874,25549,0
33285,32077,0
1057,1955,1
18273,9108,0
1488,25501,0
12682,27032,0
21159,14932,0
4669,18794,0
21099,15167,0
21111,19395,0
12130,29430,0
27971,31467,0
8074,14321,0
17651,15415,0
33079,29926,1
27968,21574,0
1048,13100,0
27802,16521,0
10430,23484,1
20513,17217,0
6404,26861,0
9846,9858,0
29253,26415,1
18921,13108,0
23031,21689,0
20928,23462,0
8753,643,1
22587,13479,0
24500,21174,0
20725,8895,0
20413,31376,0
22326,22056,0
25852,54,0
30715,11390,0
4005,6766,0
9577,3488,0
6556,30582,0
29689,28591,0
21778,16083,0
26132,23666,0
526,33361,1
10903,3043,0
16669,19736,0
31761,27335,0
12493,21245,1
14053,2541,0
2220,13953,0
31152,17990,0
27125,2862,0
21542,11064,1
24991,10544,0
3188,16116,0
21842,3185,1
18935,15410,0
29715,27618,0
3890,29837,0
23172,26073,0
2105,1309,0
19772,27112,0
29082,777,0
25796,26842,1
6878,32458,0
20703,18335,0
26777,21041,1
25089,9089,1
26694,22592,0
28087,17139,0
3350,2533,0
10718,24980,0
24672,22854,0
26695,18223,0
3651,27643,0
28061,31224,0
10688,10408,0
12431,23843,0
7690,15945,0
3090,21180,0
5543,30431,0
14535,29097,0
19894,19456,0
20596,27319,1
32391,12753,0
5976,3633,0
32601,4534,0
21308,6935,0
21735,4937,0
11182,2572,0
1842,19193,0
5622,11854,0
8232,7928,0
24752,33357,0
19703,17844,1
32101,9979,0
19179,22691,0
15319,24588,0
33314,22117,0
31731,19143,0
