case1,case2,label
18945,27406,0
25717,24868,0
6524,4217,0
22616,8070,0
27158,18599,0
7570,26566,0
9447,12177,0
6151,24358,0
1375,27446,0
31244,8026,0
3324,18953,0
22275,11683,0
11638,30109,0
29145,25234,0
6390,23394,0
79,2223,0
14436,7557,0
24788,6968,1
5950,22910,0
20094,20390,0
19370,14023,0
30084,14926,0
22838,8167,0
7607,31171,1
9696,17509,1
11623,6571,0
8120,24916,0
21118,1423,0
5272,22602,0
29361,4079,0
28125,21555,0
25122,19689,0
17948,8943,0
21108,9781,0
8610,32358,1
5999,22083,1
27503,17710,0
487,24982,0
10581,10250,1
28885,8592,0
5492,26326,0
26992,30232,0
2406,20236,0
17527,1788,0
17149,7364,1
12339,31907,1
25159,20721,0
8438,25907,1
2977,26939,0
23106,12972,0
6053,26842,0
4714,9510,0
11887,29643,0
26263,26148,0
12172,5218,0
22440,669,0
32369,14353,0
30736,11280,1
28407,16806,0
31503,10850,0
10399,27790,0
16838,13072,1
13407,10315,0
27605,21100,0
25313,31821,0
23830,15266,1
13568,5204,0
19846,13948,0
30282,11860,0
32781,31783,0
652,16671,0
15277,12228,0
30291,10394,0
26880,31877,0
13480,23703,0
9372,4428,0
7101,3561,1
1271,7985,0
25188,30634,1
15345,21988,0
14038,12452,1
20762,21036,0
18231,13677,0
26022,24931,0
3440,9695,0
8235,25541,0
5324,9612,1
8828,24519,0
26714,24074,0
16977,13764,1
31291,3251,0
28879,23641,0
7543,28868,1
14864,24673,0
6714,3575,0
17444,9709,0
31768,9490,0
13931,10511,0
8177,11815,0
16939,4758,0
17529,16141,0
21004,11528,0
17828,4371,0
4975,13264,0
27996,14128,0
8362,19529,0
8591,18363,1
28635,1720,0
23288,26048,0
17767,15368,0
27428,8886,0
1364,28523,0
5334,7443,1
22753,9645,0
2110,4253,0
17012,12963,0
13416,23791,1
17232,25676,0
24759,2374,0
25418,12600,0
15018,29044,0
17881,21120,0
17285,10348,0
30176,23799,0
808,11734,0
2021,23708,0
1246,14648,0
19377,7888,0
1268,6634,0
8525,21123,1
28541,22027,0
8591,869,0
14043,18987,1
4282,29010,0
22540,4236,0
16841,6241,0
22950,27343,0
20128,868,0
10619,22375,0
15561,8906,0
22291,15550,0
26304,16111,0
9308,13703,0
25847,20506,0
30086,14038,0
1652,551,0
4828,27547,0
24744,12200,0
3700,8687,0
29322,28189,0
13074,19682,0
7431,4971,0
30908,26770,0
19882,25334,0
21803,10988,0
8426,13865,1
6563,22892,0
30842,16772,0
21120,30646,0
27902,26762,0
735,16488,1
4060,29446,0
21106,4873,1
19287,16255,0
22092,27304,0
25358,24371,0
15487,9619,0
5331,4967,0
10054,5263,0
494,22001,0
13324,31657,0
6854,29410,0
15139,3692,0
22356,30109,0
10762,12620,0
3192,28549,0
15167,18568,1
3240,26684,0
19555,7868,0
11654,4649,1
7589,23215,0
640,30689,0
14484,2220,0
22295,9004,0
22196,11183,0
24403,21458,0
73,7012,0
24683,8612,0
13992,30479,0
17272,8558,0
6704,17035,0
32703,31364,0
32636,26702,0
3402,32575,0
32088,28100,0
15903,680,0
2860,16423,1
2353,31445,0
20188,2190,0
