case1,case2,label
1011,69163,0
30228,22628,0
56519,7546,0
10309,50682,0
73312,57917,0
19610,11134,0
33092,66197,0
93019,26343,0
84032,59430,0
34075,56673,0
35987,34608,0
4699,71737,0
84038,25704,1
31315,79523,0
49604,11273,0
14313,57384,0
64319,78606,0
64650,34882,0
13392,30954,0
47349,93071,0
46994,13807,0
14134,28701,0
22280,31142,0
64962,21662,0
7588,86552,0
46743,34123,0
61696,95109,0
52853,60707,0
21807,99868,0
34423,7948,0
21288,36739,0
27794,44860,0
53355,89127,1
6461,41966,1
27937,28520,0
66297,12942,0
30679,92225,0
88156,5833,0
63741,651,1
51751,7568,0
65494,54698,0
18231,54723,0
27665,22557,0
32166,46549,0
69812,51896,1
61077,6254,0
68795,74576,0
44837,81176,0
27656,23437,0
20867,31584,0
52907,37618,0
44545,98974,0
63242,51022,0
42036,28230,0
62676,76303,0
11941,84126,0
97481,88624,0
1525,78866,0
30579,43898,0
32589,49780,0
11286,30824,0
66305,65216,0
41919,34067,0
1471,9748,0
62881,41691,0
23500,79949,0
56746,598,0
76960,908,0
53346,79404,0
8752,3257,0
2142,55158,0
35167,36126,0
47941,94882,0
46777,7189,0
79695,65403,0
347,80501,0
13546,56022,0
33698,25154,0
76584,34967,1
13108,38385,0
89703,91734,0
82516,4158,0
13948,55047,0
54305,13165,1
47902,21140,0
79464,68390,0
70043,60850,0
45434,37107,0
8119,28557,0
75084,83235,0
7815,27282,0
77667,56594,0
94730,52843,0
51814,84067,0
41549,70878,0
4896,17991,0
62224,14055,0
83973,54394,0
36858,94594,1
29820,30071,0
70370,28334,0
76998,75801,0
76272,47859,0
47656,74635,0
88971,84579,0
38323,23891,0
20611,30537,0
10516,79395,0
57121,82575,0
70225,47016,0
83406,90767,0
51087,89505,1
51651,6147,0
77521,527,0
87835,14418,0
20576,59908,0
49649,66062,0
26525,9660,0
50344,50305,0
50485,54111,0
67548,96256,0
6716,58284,0
67367,84200,0
57897,53801,1
17150,48444,0
45651,35948,0
69066,8688,0
58820,62210,0
20053,78203,0
69739,13016,0
31821,51204,0
48114,21653,0
3676,41442,0
40807,24730,0
54929,9249,1
24772,11464,0
46371,71608,0
68002,91620,0
54310,14159,0
16955,32556,0
15273,38418,0
82179,57856,0
54427,59014,0
49983,63842,1
52385,65613,0
89818,1633,0
60035,54414,0
82511,43593,0
13824,13252,0
29887,69386,0
35983,62441,1
14252,74974,0
25134,58224,0
1646,66035,0
17803,6986,0
52026,87323,0
12669,57420,0
43139,84190,0
67009,65895,0
54257,15430,0
51063,99849,0
32310,73823,0
73645,94483,1
8663,97406,1
16177,27127,0
41862,27022,0
77593,19831,0
81039,74402,0
41599,33975,0
54704,3004,0
18564,7720,0
30860,41254,0
36875,57791,0
63208,59653,0
75607,45564,0
50536,65696,0
2926,87937,0
38051,95647,0
62731,34701,0
68724,63259,1
80585,61124,0
65576,76137,1
57352,16085,0
44608,10602,1
59193,49125,0
76833,90023,0
35521,58830,0
63193,94988,0
92532,31945,0
37485,34072,0
64270,23096,0
63937,23548,0
59575,38524,0
99185,23180,0
75697,65470,1
40422,35401,0
44979,87714,0
19558,32582,0
